release_date,collected_from,collected_to,NGC,target_name,filters,jpeg,proposal
2024-05-18,2023-05-17 19:20:46.553,2023-05-17 22:47:44.419,4449,NGC4449-NIRCAM,115 187 300 335 444,mast:JWST/product/jw01783-o006_t006_nircam_clear-f115w_i2d.jpg,1783
2024-05-17,2023-05-17 07:02:04.884,2023-05-17 08:01:04.791,4639,NGC4639,115 356,mast:JWST/product/jw01995-o022_t021_niriss_clear-f115w_i2d.jpg,1995
2024-05-17,2023-05-16 22:46:28.121,2023-05-16 23:29:15.061,4449,NGC4449-MIRI,560 770,mast:JWST/product/jw01783-o010_t012_miri_f560w_i2d.jpg,1783
2024-05-17,2023-05-17 05:24:14.164,2023-05-17 06:39:03.260,4424,NGC4424,115,mast:JWST/product/jw01995-o012_t012_niriss_clear-f115w_i2d.jpg,1995
2024-05-15,2024-05-15 07:45:12.112,2024-05-15 09:16:52.386,3511,NGC3511, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o042_t024_nircam_clear-f150w_i2d.jpg,3707
2024-05-13,2024-05-12 16:42:10.781,2024-05-12 18:09:10.800,3137,NGC3137, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o036_t020_nircam_clear-f150w_i2d.jpg,3707
2024-05-13,2024-05-12 14:33:36.037,2024-05-12 16:01:03.768,3059,NGC3059, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o034_t019_nircam_clear-f150w_i2d.jpg,3707
2024-05-13,2023-05-12 23:30:16.249,2023-05-13 03:09:27.502,0,IC5063,560,mast:JWST/product/jw02004-o003_t001_miri_f560w-brightsky_i2d.jpg,2004
2024-05-12,2023-04-26 08:38:21.793,2023-05-12 06:15:52.027,0,SERPENS-MAIN,140 210 480,mast:JWST/product/jw01611-o002_t004_nircam_clear-f140m_i2d.jpg,1611
2024-05-04,2024-05-04 05:37:30.555,2024-05-04 11:50:20.637,2997,NGC2997, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o032_t018_nircam_clear-f150w_i2d.jpg,3707
2024-05-03,2024-04-23 11:04:25.433,2024-04-23 12:26:27.111,2525,NGC-2525, 90 150 277,mast:JWST/product/jw02875-o001_t001_niriss_clear-f090w_i2d.jpg,2875
2024-05-01,2024-05-01 04:47:46.403,2024-05-01 07:12:38.035,3368,NGC3368, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o126_t023_nircam_clear-f150w_i2d.jpg,3707
2024-05-01,2024-04-30 19:24:53.380,2024-05-01 00:08:58.092,2903,NGC2903, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o030_t017_nircam_clear-f150w_i2d.jpg,3707
2024-04-30,2024-04-30 00:17:34.235,2024-04-30 02:51:24.426,3521,NGC3521, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o046_t026_nircam_clear-f150w_i2d.jpg,3707
2024-04-29,2024-04-29 05:56:57.077,2024-04-29 06:49:55.217,0,COSMOS_SN1,115 150 277 444,mast:JWST/product/jw06585-o012_t001_nircam_clear-f115w_i2d.jpg,6585
2024-04-28,2023-04-28 09:39:00.009,2023-04-28 10:10:29.867,0,CLOUDEF-CENTER, 770 2100,mast:JWST/product/jw02092-o008_t001_miri_f770w_i2d.jpg,2092
2024-04-28,2023-04-27 22:21:43.564,2023-04-27 23:26:53.596,2992,NGC-2992, 560 1000 1500 1800 2100,mast:JWST/product/jw02064-o003_t002_miri_f560w-sub256_i2d.jpg,2064
2024-04-27,2023-03-19 12:36:08.890,2023-03-19 15:35:16.979,0,CLOUDEF-CENTER, 162  210  360  480  770 2100,mast:JWST/product/jw02092-o002_t001_nircam_f150w2-f162m_i2d.jpg,2092
2024-04-26,2023-04-25 09:16:12.983,2023-04-25 12:52:18.754,602,NGC-602,115 140 150 210 277 335 356 480,mast:JWST/product/jw02662-o001_t001_nircam_clear-f115w_i2d.jpg,2662
2024-04-25,2023-04-15 15:08:19.262,2023-04-25 05:35:42.044,0,BRICK-IKP2016-G0.253+0.015, 187  212  410  444  466 2550,mast:JWST/product/jw02221-o002_t001_nircam_clear-f187n_i2d.jpg,2221
